1006469885-8a3d74 | http://is10.auto.ru/all/images/4b/bc/60x45/4bbcc048.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #FF0000 | 460 000 |  2007  |  65 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1003555680-d6242 | http://is2.auto.ru/all/images/45/94/60x45/45944170.jpg |  Mazda 3 II (BL)1.6 AT (105 л.с.)  | #FFFFFF | 749 000 |  2010  |  68 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Можайск | 22.01.15
1007245951-259b | http://is13.auto.ru/all/images/98/90/60x45/989005e9.jpg |  Mazda 3 II (BL) Рестайлинг1.6 AT (105 л.с.)  | #FFFFFF | 603 000 |  2012  |  58 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007245791-ceeb6 | http://is15.auto.ru/all/images/cf/59/60x45/cf59ad0f.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #000000 | 440 000 |  2007  |  130 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Сочи | 22.01.15
1007245659-f04b49 | http://is17.auto.ru/all/images/aa/aa/60x45/aaaa0d68.jpg |  Mazda 3 III1.6 MT (104 л.с.)  | #FFFFFF | 576 000 |  2014  | Новый |  1.6 MT (104 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007245661-408f02 | http://is15.auto.ru/all/images/3b/a0/60x45/3ba0a887.jpg |  Mazda 3 III1.6 MT (104 л.с.)  | #FFFFFF | 632 000 |  2014  | Новый |  1.6 MT (104 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1004772711-ed22 | http://is7.auto.ru/all/images/68/7d/60x45/687d0c54.jpg |  Mazda 3 III1.6 AT (104 л.с.)  | #000000 | 920 000 |  2014  |  17 000 км  |  1.6 AT (104 л.с.)седан, бензин, передний  | Тверь | 22.01.15
1007114205-fb2fd9 | http://is10.auto.ru/all/images/56/7a/60x45/567a95f7.jpg |  Mazda 3 II (BL)2.0 AT (150 л.с.)  | #000000 | 490 000 |  2010  |  49 000 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007245537-720f | http://is4.auto.ru/all/images/cc/f1/60x45/ccf17ac9.jpg |  Mazda 3 I (BK) Рестайлинг1.6 MT (105 л.с.)  | #CACECB | 380 000 |  2008  |  115 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007245469-9ee19a | http://is13.auto.ru/all/images/95/64/60x45/9564563d.jpg |  Mazda 3 I (BK) Рестайлинг1.6 MT (105 л.с.)  | #000000 | 385 000 |  2007  |  87 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Саранск | 22.01.15
1006936675-99d068 | http://is3.auto.ru/all/images/d9/aa/60x45/d9aaa9db.jpg |  Mazda 3 I (BK)1.6 AT (105 л.с.)  | #0000FF | 325 000 |  2005  |  130 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006807703-d6e181 | http://is2.auto.ru/all/images/ca/f0/60x45/caf0c800.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #9c9999 | 550 000 |  2008  |  148 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Пушкино | 22.01.15
1006989559-11a34 | http://is16.auto.ru/all/images/f8/c0/60x45/f8c06c25.jpg |  Mazda 3 III1.6 AT (104 л.с.)  | #000000 | 905 000 |  2014  |  8 600 км  |  1.6 AT (104 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006264657-3e94 | http://is5.auto.ru/all/images/5a/81/60x45/5a811dd4.jpg |  Mazda 3 I (BK)1.6 MT (105 л.с.)  | #0088ff | 320 000 |  2005  |  122 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007188873-4a1eb | http://is16.auto.ru/all/images/9a/63/60x45/9a6309ec.jpg |  Mazda 3 I (BK) Рестайлинг2.0 AT (150 л.с.) 5-speed  | #000000 | 384 000 |  2008  |  68 000 км  |  2.0 AT (150 л.с.) 5-speedхэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007110363-1405 | http://is18.auto.ru/all/images/8f/8d/60x45/8f8dc666.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #0000FF | 435 000 |  2008  |  57 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007110297-8ffb | http://is9.auto.ru/all/images/be/a9/60x45/bea9e2f7.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #0000FF | 435 000 |  2008  |  57 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Мытищи | 22.01.15
1007147523-75b5 | http://is15.auto.ru/all/images/3c/f1/60x45/3cf111a6.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #FF9966 | 399 999 |  2009  |  88 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
49266452-0819 | http://is8.auto.ru/all/images/42/5d/60x45/425d90b7.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #FF0000 | 530 000 |  2008  |  67 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Белгород | 22.01.15
1007242775-bfc58 | http://is2.auto.ru/all/images/00/25/60x45/00253001.jpg |  Mazda 3 II (BL)1.6 MT (105 л.с.)  | #000000 | 629 990 |  2010  |  36 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Нижний Новгород | 22.01.15
1007186539-7a772 | /i/all7/img/no-photo-thumb.gif |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #0000FF | 435 000 |  2006  |  139 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007242487-90d662 | http://is2.auto.ru/all/images/ed/6b/60x45/ed6badc0.jpg |  Mazda 3 II (BL)1.6 AT (105 л.с.)  | #CACECB | 625 000 |  2011  |  53 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007242663-3722c | http://is4.auto.ru/all/images/df/04/60x45/df0452a9.jpg |  Mazda 3 I (BK) Рестайлинг1.6 MT (105 л.с.)  | #000000 | 390 000 |  2007  |  135 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Иваново | 22.01.15
1006181679-baa425 | http://is14.auto.ru/all/images/11/b1/60x45/11b10d7d.jpg |  Mazda 3 II (BL) Рестайлинг1.6 AT (105 л.с.)  | #FFFFFF | 770 000 |  2012  |  37 200 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007216027-25a2 | http://is13.auto.ru/all/images/c1/3d/60x45/c13dc691.jpg |  Mazda 3 I (BK)1.6 MT (105 л.с.)  | #0000FF | 325 000 |  2006  |  84 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007215915-311d1 | http://is11.auto.ru/all/images/aa/48/60x45/aa486f20.jpg |  Mazda 3 I (BK) Рестайлинг1.6 MT (105 л.с.)  | #0000FF | 335 000 |  2008  |  82 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007095379-d6fd | http://is8.auto.ru/all/images/e8/72/60x45/e8721e1b.jpg |  Mazda 3 II (BL) Рестайлинг1.6 AT (105 л.с.)  | #FFFFFF | 850 000 |  2013  |  27 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1004077738-6ac24 | http://is9.auto.ru/all/images/ff/95/60x45/ff957c39.jpg |  Mazda 3 I (BK) Рестайлинг2.0 MT (150 л.с.) 6-speed  | #000000 | 470 000 |  2008  |  154 000 км  |  2.0 MT (150 л.с.) 6-speedседан, бензин, передний  | Санкт-Петербург | 22.01.15
1006937067-ce74af | http://is18.auto.ru/all/images/e7/67/60x45/e767f5dd.jpg |  Mazda 3 I (BK)1.6 MT (105 л.с.)  | #0000FF | 290 000 |  2004  |  138 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Зеленоград | 22.01.15
1007242437-022b | http://is13.auto.ru/all/images/43/4a/60x45/434aa9fc.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #9c9999 | 380 000 |  2006  |  146 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007242111-c667 | /i/all7/img/no-photo-thumb.gif |  Mazda 3 III1.6 MT (104 л.с.)  | #FF0000 | 664 700 |  2014  | Новый |  1.6 MT (104 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007242109-7494 | /i/all7/img/no-photo-thumb.gif |  Mazda 3 III1.6 MT (104 л.с.)  | #FFFFFF | 664 900 |  2014  | Новый |  1.6 MT (104 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007241793-c1b8 | http://is18.auto.ru/all/images/15/5c/60x45/155c1e87.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #9c9999 | 460 000 |  2008  |  98 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007241755-abb4 | http://is17.auto.ru/all/images/3b/36/60x45/3b363e10.jpg |  Mazda 3 I (BK) Рестайлинг1.6 MT (105 л.с.)  | #FF0000 | 395 000 |  2008  |  93 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007216865-68142 | http://is7.auto.ru/all/images/3c/b2/60x45/3cb24812.jpg |  Mazda 3 III1.6 MT (104 л.с.)  | #CACECB | 740 000 |  2014  |  5 000 км  |  1.6 MT (104 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007240147-ea9bb | http://is18.auto.ru/all/images/e4/ef/60x45/e4efe24e.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #0000FF | 485 000 |  2008  |  132 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007241421-096e6 | /i/all7/img/no-photo-thumb.gif |  Mazda 3 III1.6 MT (104 л.с.)  | #FFFFFF | 664 200 |  2014  | Новый |  1.6 MT (104 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007241423-e5a2 | /i/all7/img/no-photo-thumb.gif |  Mazda 3 III1.6 MT (104 л.с.)  | #FFFFFF | 664 900 |  2014  | Новый |  1.6 MT (104 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007241107-d79c95 | http://is12.auto.ru/all/images/8c/a7/60x45/8ca70ca7.jpg |  Mazda 3 I (BK) Рестайлинг2.0 MT (150 л.с.) 6-speed  | #CC0033 | 400 000 |  2007  |  103 000 км  |  2.0 MT (150 л.с.) 6-speedседан, бензин, передний  | Ханты-Мансийск | 22.01.15
1007241051-b4e5 | http://is3.auto.ru/all/images/ec/f5/60x45/ecf5deb5.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #ffefd5 | 455 500 |  2007  |  112 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007238891-6fb7 | http://is2.auto.ru/all/images/5d/73/60x45/5d73bf2e.jpg |  Mazda 3 I (BK) Рестайлинг2.0 MT (150 л.с.) 6-speed  | #FF0000 | 448 000 |  2006  |  108 000 км  |  2.0 MT (150 л.с.) 6-speedседан, бензин, передний  | Санкт-Петербург | 22.01.15
1007240749-dc1336 | http://is17.auto.ru/all/images/cf/91/60x45/cf916f17.jpg |  Mazda 3 I (BK)1.6 AT (105 л.с.)  | #CACECB | 349 000 |  2005  |  187 985 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006626871-04a558 | http://is6.auto.ru/all/images/ef/4b/60x45/ef4bf724.jpg |  Mazda 3 II (BL) Рестайлинг1.6 AT (105 л.с.)  | #CACECB | 750 000 |  2012  |  30 500 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007240369-ec5d | http://is1.auto.ru/all/images/47/03/60x45/4703da36.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #CACECB | 333 333 |  2007  |  68 754 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007216603-1cbb3 | http://is9.auto.ru/all/images/3e/29/60x45/3e29aafe.jpg |  Mazda 3 I (BK) Рестайлинг1.6 MT (105 л.с.)  | #9966CC | 340 000 |  2008  |  68 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007216571-bccee | http://is17.auto.ru/all/images/b4/ed/60x45/b4ed3e56.jpg |  Mazda 3 II (BL)2.0 MT (150 л.с.)  | #000000 | 430 000 |  2009  |  47 000 км  |  2.0 MT (150 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007179427-c38a | http://is1.auto.ru/all/images/40/fb/60x45/40fb985b.jpg |  Mazda 3 I (BK)2.0 MT (150 л.с.) 5-speed  | #0000FF | 370 000 |  2005  |  120 000 км  |  2.0 MT (150 л.с.) 5-speedхэтчбек, бензин, передний  | Москва | 22.01.15
1007073433-8ba5d | http://is7.auto.ru/all/images/21/ed/60x45/21edd9d8.jpg |  Mazda 3 III1.6 MT (104 л.с.)  | #000000 | 665 000 |  2014  | Новый |  1.6 MT (104 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007240129-38c2b | http://is11.auto.ru/all/images/78/37/60x45/78375af5.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #9c9999 | 510 000 |  2008  |  74 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Брянск | 22.01.15
1007134927-b1a7 | http://is5.auto.ru/all/images/bd/58/60x45/bd5889f4.jpg |  Mazda 3 II (BL)2.0 MT (150 л.с.)  | #000000 | 385 000 |  2009  |  82 000 км  |  2.0 MT (150 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007180413-badf5 | http://is17.auto.ru/all/images/e7/7b/60x45/e77b7c8c.jpg |  Mazda 3 I (BK) Рестайлинг1.6 MT (105 л.с.)  | #0088ff | 340 000 |  2007  |  119 569 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Гусь-Хрустальный | 22.01.15
1007094955-46ba5 | http://is3.auto.ru/all/images/e8/fe/60x45/e8fedc73.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #FFFFFF | 390 000 |  2008  |  98 736 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007219029-5cc2f | http://is18.auto.ru/all/images/19/dc/60x45/19dc3f21.jpg |  Mazda 3 II (BL)1.6 MT (105 л.с.)  | #CACECB | 430 000 |  2009  |  115 800 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007219181-2908a8 | http://is17.auto.ru/all/images/af/f2/60x45/aff27559.jpg |  Mazda 3 I (BK)1.6 AT (105 л.с.)  | #0000FF | 430 000 |  2006  |  133 350 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007036947-14b1b | http://is13.auto.ru/all/images/d9/4d/60x45/d94dbf42.jpg |  Mazda 3 I (BK) Рестайлинг2.0 MT (150 л.с.) 6-speed  | #0000FF | 480 000 |  2008  |  89 000 км  |  2.0 MT (150 л.с.) 6-speedседан, бензин, передний  | Москва | 22.01.15
1007219649-a6b15 | http://is10.auto.ru/all/images/e6/50/60x45/e650944b.jpg |  Mazda 3 II (BL)2.0 MT (150 л.с.)  | #9c9999 | 530 000 |  2011  |  71 000 км  |  2.0 MT (150 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007219729-761da0 | http://is13.auto.ru/all/images/c6/a9/60x45/c6a9b66d.jpg |  Mazda 3 I (BK)2.3 AT (160 л.с.)  | #FF0000 | 410 000 |  2006  |  92 000 км  |  2.3 AT (160 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006814423-0b10c9 | http://is13.auto.ru/all/images/09/d3/60x45/09d3b1d0.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #000000 | 466 000 |  2007  |  107 428 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Щелково | 22.01.15
1007218445-c39f | http://is2.auto.ru/all/images/bb/f8/60x45/bbf8a53f.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #FFCC00 | 475 000 |  2009  |  32 800 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007217161-bbc30 | http://is15.auto.ru/all/images/89/8d/60x45/898de897.jpg |  Mazda 3 I (BK)1.6 MT (105 л.с.)  | #34ba2b | 350 000 |  2005  |  56 021 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007055193-b86e | http://is17.auto.ru/all/images/ea/63/60x45/ea63d901.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #9c9999 | 430 000 |  2008  |  48 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
