1005695641-23437 | http://is8.auto.ru/all/images/58/73/60x45/5873ed94.jpg |  Hyundai Solaris I Рестайлинг1.6 MT (123 л.с.)  | #FFFFFF | 620 000 |  2014  |  6 900 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Москва | 25.12.14
1005699609-f7929 | http://is2.auto.ru/all/images/12/ca/60x45/12ca6c8d.jpg |  Hyundai Solaris I Рестайлинг1.4 MT (107 л.с.)  | #CACECB | 634 900 |  2014  |  1 км  |  1.4 MT (107 л.с.)седан, бензин, передний  | Смоленск | 25.12.14
46706404-65d1c | http://is9.auto.ru/all/images/4d/2e/60x45/4d2e3dca.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #FFFFFF | 500 000 |  2013  |  23 000 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Иваново | 25.12.14
1005703965-41de | http://is7.auto.ru/all/images/e2/5f/60x45/e25fb96e.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #9c9999 | 590 000 |  2013  |  24 000 км  |  1.6 MT (123 л.с.)хэтчбек, бензин, передний  | Белгород | 25.12.14
1005706955-a5e9b | /i/all7/img/no-photo-thumb.gif |  Hyundai Solaris I Рестайлинг1.6 AT (123 л.с.)  | #FFFFFF | 630 000 |  2014  |  6 000 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Одинцово | 25.12.14
42119466-b8a74 | http://is9.auto.ru/all/images/bc/68/60x45/bc685f69.jpg |  Hyundai Solaris I1.4 MT (107 л.с.)  | #FFFFFF | 520 000 |  2012  |  27 000 км  |  1.4 MT (107 л.с.)седан, бензин, передний  | Елец | 25.12.14
1005710457-142ce1 | http://is4.auto.ru/all/images/e2/4d/60x45/e24db23b.jpg |  Hyundai Solaris I Рестайлинг1.4 MT (107 л.с.)  | #9c9999 | 620 000 |  2014  |  500 км  |  1.4 MT (107 л.с.)хэтчбек, бензин, передний  | Москва | 25.12.14
1005740427-37a4 | /i/all7/img/no-photo-thumb.gif |  Hyundai Solaris I1.4 AT (107 л.с.)  | #9c9999 | 480 000 |  2011  |  60 000 км  |  1.4 AT (107 л.с.)седан, бензин, передний  | Люберцы | 26.12.14
1005641027-af7a1a | http://is2.auto.ru/all/images/9b/7c/60x45/9b7c40df.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #ffefd5 | 500 000 |  2011  |  42 000 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Тверь | 26.12.14
1005744643-0bd77 | http://is6.auto.ru/all/images/b1/47/60x45/b1473a33.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #FFFFFF | 590 000 |  2012  |  45 000 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Старый Оскол | 26.12.14
1005746173-1b05e | http://is14.auto.ru/all/images/e2/3d/60x45/e23d6f12.jpg |  Hyundai Solaris I1.4 AT (107 л.с.)  | #9c9999 | 480 000 |  2011  |  60 000 км  |  1.4 AT (107 л.с.)седан, бензин, передний  | Москва | 26.12.14
1005747231-5a2685 | http://is13.auto.ru/all/images/3d/ad/60x45/3dad6c36.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #0000FF | 565 000 |  2011  |  95 000 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Ростов-на-Дону | 26.12.14
1005752221-16b9 | http://is11.auto.ru/all/images/be/61/60x45/be61c3fa.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #FF0000 | 465 000 |  2011  |  70 000 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Смоленск | 26.12.14
1003699718-d56f67 | http://is2.auto.ru/all/images/94/dc/60x45/94dc8139.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #000000 | 495 000 |  2012  |  94 500 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Москва | 26.12.14
1005641129-4f0b | http://is15.auto.ru/all/images/d8/4b/60x45/d84b6fc5.jpg |  Hyundai Solaris I1.4 MT (107 л.с.)  | #FFFFFF | 480 000 |  2012  |  61 000 км  |  1.4 MT (107 л.с.)хэтчбек, бензин, передний  | Краснодар | 26.12.14
