1005683199-37429a | http://is9.auto.ru/all/images/ee/99/60x45/ee99f24a.jpg |  Hyundai Santa Fe III2.2d AT (197 л.с.) 4WD  | #9c9999 | 1 650 000 |  2013  |  7 000 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Владивосток | 25.12.14
1005696141-182f | http://is2.auto.ru/all/images/27/3f/60x45/273fb9b0.jpg |  Hyundai Santa Fe I2.0d MT (112 л.с.)  | #000000 | 346 000 |  2001  |  245 000 км  |  2.0d MT (112 л.с.)внедорожник, дизель, передний  | Рязань | 25.12.14
1001426713-1ef8f1 | http://is6.auto.ru/all/images/9b/8b/60x45/9b8bcf56.jpg |  Hyundai Santa Fe I2.4 MT (146 л.с.) 4WD  | #FFCC00 | 320 000 |  2002  |  250 000 км  |  2.4 MT (146 л.с.) 4WDвнедорожник, бензин, полный  | Иваново | 25.12.14
50197604-2ecf0c | http://is2.auto.ru/all/images/ec/a5/60x45/eca5dc55.jpg |  Hyundai Santa Fe I2.7 AT (173 л.с.) 4WD  | #000000 | 349 000 |  2001  |  186 000 км  |  2.7 AT (173 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 25.12.14
1005641327-f445 | http://is16.auto.ru/all/images/49/ff/60x45/49ffa5e8.jpg |  Hyundai Santa Fe I2.4 AT (146 л.с.)  | #CACECB | 360 000 |  2003  |  80 000 км  |  2.4 AT (146 л.с.)внедорожник, бензин, передний  | Боровичи | 25.12.14
1005703077-22a5 | http://is12.auto.ru/all/images/a6/4b/60x45/a64b99c0.jpg |  Hyundai Santa Fe I2.7 AT (173 л.с.)  | #CACECB | 370 000 |  2003  |  155 000 км  |  2.7 AT (173 л.с.)внедорожник, бензин, передний  | Выборг | 25.12.14
1005705177-3efb0 | http://is2.auto.ru/all/images/df/08/60x45/df0855a5.jpg |  Hyundai Santa Fe II2.2d AT (150 л.с.) 4WD  | #000000 | 820 000 |  2008  |  125 000 км  |  2.2d AT (150 л.с.) 4WDвнедорожник, дизель, полный  | Нижний Новгород | 25.12.14
1005588971-7dcb79 | http://is4.auto.ru/all/images/e2/e4/60x45/e2e4c7db.jpg |  Hyundai Santa Fe I Classic2.0d AT (112 л.с.) 4WD  | #ffefd5 | 625 000 |  2008  |  78 500 км  |  2.0d AT (112 л.с.) 4WDвнедорожник, дизель, полный  | Псков | 26.12.14
1005727033-f71aa | /i/all7/img/no-photo-thumb.gif |  Hyundai Santa Fe I Classic2.7 AT (173 л.с.) 4WD  | #FF0000 | 535 000 |  2007  |  160 000 км  |  2.7 AT (173 л.с.) 4WDвнедорожник, бензин, полный  | Дюртюли | 26.12.14
1005648205-2256 | http://is3.auto.ru/all/images/1f/b4/60x45/1fb42e65.jpg |  Hyundai Santa Fe II Рестайлинг2.4 AT (174 л.с.) 4WD  | #CACECB | 1 300 000 |  2011  |  80 000 км  |  2.4 AT (174 л.с.) 4WDвнедорожник, бензин, полный  | Пенза | 26.12.14
42047482-df644 | http://is1.auto.ru/all/images/0e/62/60x45/0e62a6c4.jpg |  Hyundai Santa Fe III Grand2.2d AT (197 л.с.) 4WD  | #000000 | 2 480 000 |  2014  |  1 111 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 26.12.14
1003697400-995a | http://is6.auto.ru/all/images/a8/a8/60x45/a8a82aa4.jpg |  Hyundai Santa Fe I2.4 MT (146 л.с.)  | #9c9999 | 300 000 |  2001  |  228 392 км  |  2.4 MT (146 л.с.)внедорожник, бензин, передний  | Коломна | 26.12.14
47123030-57733 | http://is8.auto.ru/all/images/b7/79/60x45/b779d788.jpg |  Hyundai Santa Fe II2.7 AT (189 л.с.) 4WD  | #CACECB | 677 000 |  2007  |  152 000 км  |  2.7 AT (189 л.с.) 4WDвнедорожник, бензин, полный  | Великий Новгород | 26.12.14
41103474-faaf9 | http://is11.auto.ru/all/images/6b/80/60x45/6b80dcbf.jpg |  Hyundai Santa Fe III2.2d AT (197 л.с.) 4WD  | #0000FF | 2 420 000 |  2014  |  1 111 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 26.12.14
1005752697-df66 | http://is8.auto.ru/all/images/93/39/60x45/93397d45.jpg |  Hyundai Santa Fe II2.7 AT (189 л.с.) 4WD  | #000000 | 849 000 |  2009  |  115 000 км  |  2.7 AT (189 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 26.12.14
1000121576-ab9e78 | http://is15.auto.ru/all/images/25/e9/60x45/25e9bc0c.jpg |  Hyundai Santa Fe I2.7 AT (173 л.с.) 4WD  | #CACECB | 370 000 |  2003  |  112 000 км  |  2.7 AT (173 л.с.) 4WDвнедорожник, бензин, полный  | Чебоксары | 26.12.14
1005759663-27ae1 | http://is9.auto.ru/all/images/4b/ab/60x45/4bab529f.jpg |  Hyundai Santa Fe II Рестайлинг2.2d AT (197 л.с.) 4WD  | #CACECB | 1 600 000 |  2012  |  65 000 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Губкин | 26.12.14
1005753233-86b4f8 | http://is6.auto.ru/all/images/c7/8b/60x45/c78b8468.jpg |  Hyundai Santa Fe I2.7 AT (173 л.с.)  | #FFFFFF | 420 000 |  2002  |  151 000 км  |  2.7 AT (173 л.с.)внедорожник, бензин, передний  | Ростов-на-Дону | 26.12.14
1005760209-c28c4f | http://is11.auto.ru/all/images/00/f2/60x45/00f23c84.jpg |  Hyundai Santa Fe I2.7 AT (173 л.с.)  | #926547 | 450 000 |  2003  |  140 000 км  |  2.7 AT (173 л.с.)внедорожник, бензин, передний  | Минусинск | 26.12.14
1005762415-85fb7 | http://is9.auto.ru/all/images/72/f6/60x45/72f6b663.jpg |  Hyundai Santa Fe II Рестайлинг2.2d AT (197 л.с.) 4WD  | #000000 | 1 300 000 |  2010  |  115 000 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Набережные Челны | 27.12.14
1005806281-7aba02 | http://is2.auto.ru/all/images/cb/ad/60x45/cbadcb70.jpg |  Hyundai Santa Fe I Classic2.7 AT (173 л.с.) 4WD  | #0000FF | 605 000 |  2011  |  67 000 км  |  2.7 AT (173 л.с.) 4WDвнедорожник, бензин, полный  | Нижний Новгород | 27.12.14
