1005573803-a94732 | http://is9.auto.ru/all/images/c9/7d/60x45/c97d7f57.jpg |  BMW 5er IV (E39) 520i2.0 MT (150 л.с.)  | #000000 | 285 000 |  1997  |  420 000 км  |  2.0 MT (150 л.с.)седан, бензин, задний  | Наро-Фоминск | 23.12.14
1003906908-5b3e | http://is16.auto.ru/all/images/41/16/60x45/4116b53e.jpg |  BMW 5er V (E60/E61) Рестайлинг 520d2.0d AT (177 л.с.)  | #000000 | 849 000 |  2009  |  116 000 км  |  2.0d AT (177 л.с.)седан, дизель, задний  | Рязань | 23.12.14
1005578207-df09 | http://is18.auto.ru/all/images/75/53/60x45/7553802c.jpg |  BMW 5er IV (E39)2.5 AT (192 л.с.)  | #000000 | 460 000 |  2002  |  230 000 км  |  2.5 AT (192 л.с.)седан, бензин, задний  | Ливны | 23.12.14
1005578761-a6e9f | http://is2.auto.ru/all/images/a8/aa/60x45/a8aaa35f.jpg |  BMW 5er V (E60/E61) Рестайлинг 520i2.0 AT (170 л.с.)  | #000000 | 950 000 |  2008  |  94 000 км  |  2.0 AT (170 л.с.)седан, бензин, задний  | Воронеж | 23.12.14
1005578863-902d | /i/all7/img/no-photo-thumb.gif |  BMW 5er III (E34) 525i2.5 MT (170 л.с.)  | #000000 | 75 000 |  1989  |  400 000 км  |  2.5 MT (170 л.с.)седан, бензин, задний  | Самара | 23.12.14
1005579675-ab9d1 | http://is8.auto.ru/all/images/1a/55/60x45/1a55419b.jpg |  BMW 5er V (E60/E61) 520i2.2 AT (170 л.с.)  | #0000FF | 690 000 |  2003  |  111 000 км  |  2.2 AT (170 л.с.)седан, бензин, задний  | Санкт-Петербург | 23.12.14
1005580053-0a9d | http://is1.auto.ru/all/images/87/70/60x45/8770deaa.jpg |  BMW 5er V (E60/E61) 525i2.5 MT (192 л.с.)  | #0000FF | 645 000 |  2005  |  210 000 км  |  2.5 MT (192 л.с.)седан, бензин, задний  | Брянск | 23.12.14
1005582907-ccc42a | http://is13.auto.ru/all/images/a3/c1/60x45/a3c11a57.jpg |  BMW 5er IV (E39) 520i2.0 MT (150 л.с.)  | #CACECB | 250 000 |  1997  |  250 000 км  |  2.0 MT (150 л.с.)седан, бензин, задний  | Москва | 23.12.14
1005583541-6e1d91 | http://is2.auto.ru/all/images/66/3e/60x45/663e81e0.jpg |  BMW 5er V (E60/E61) Рестайлинг 520d2.0d AT (177 л.с.)  | #9c9999 | 959 000 |  2009  |  151 114 км  |  2.0d AT (177 л.с.)универсал, дизель, задний  | Москва | 23.12.14
1005584817-f8b8 | http://is18.auto.ru/all/images/58/bb/60x45/58bbb2dc.jpg |  BMW 5er IV (E39) Рестайлинг 525d2.5d MT (163 л.с.)  | #0000FF | 350 000 |  2001  |  338 698 км  |  2.5d MT (163 л.с.)седан, дизель, задний  | Курск | 23.12.14
1005585909-8cee | /i/all7/img/no-photo-thumb.gif |  BMW 5er VI (F10/F11/F07) 528i xDrive2.0 AT (245 л.с.) 4WD  | #000000 | 2 150 000 |  2011  |  56 000 км  |  2.0 AT (245 л.с.) 4WDседан, бензин, полный  | Москва | 23.12.14
1005587555-e194 | http://is13.auto.ru/all/images/c7/aa/60x45/c7aa9961.jpg |  BMW 5er III (E34) 520i2.0 MT (150 л.с.)  | #000000 | 85 000 |  1992  |  113 000 км  |  2.0 MT (150 л.с.)седан, бензин, задний  | Курск | 23.12.14
1005586051-d9e1 | http://is18.auto.ru/all/images/7a/8e/60x45/7a8ef2a4.jpg |  BMW 5er IV (E39) Рестайлинг 520i2.2 MT (170 л.с.)  | #CACECB | 355 000 |  2002  |  255 000 км  |  2.2 MT (170 л.с.)универсал, бензин, задний  | Козельск | 23.12.14
1005588415-2d37 | http://is7.auto.ru/all/images/30/be/60x45/30bee27b.jpg |  BMW 5er V (E60/E61) 525d2.5d AT (177 л.с.)  | #000000 | 950 000 |  2005  |  170 000 км  |  2.5d AT (177 л.с.)седан, дизель, задний  | Красногорск | 24.12.14
1005588539-d0df | http://is13.auto.ru/all/images/28/a9/60x45/28a92a0f.jpg |  BMW 5er III (E34) 525i X2.5 AT (192 л.с.) 4WD  | #000000 | 250 000 |  1994  |  270 000 км  |  2.5 AT (192 л.с.) 4WDуниверсал, бензин, полный  | Бузулук | 24.12.14
1005588839-13bd47 | http://is18.auto.ru/all/images/70/2a/60x45/702aee03.jpg |  BMW 5er III (E34) 520i2.0 MT (129 л.с.)  | #0088ff | 130 000 |  1989  |  216 972 км  |  2.0 MT (129 л.с.)седан, бензин, задний  | Брянск | 24.12.14
1005589075-6ea7ba | http://is2.auto.ru/all/images/42/24/60x45/4224605c.jpg |  BMW 5er IV (E39) Рестайлинг 525i2.5 AT (192 л.с.)  | #0000FF | 420 000 |  2002  |  160 000 км  |  2.5 AT (192 л.с.)седан, бензин, задний  | Москва | 24.12.14
1005628055-3f813 | http://is18.auto.ru/all/images/94/2f/60x45/942ffcd0.jpg |  BMW 5er IV (E39) 520i2.0 MT (150 л.с.)  | #CACECB | 300 000 |  1997  |  220 000 км  |  2.0 MT (150 л.с.)седан, бензин, задний  | Москва | 24.12.14
1005572785-35909 | http://is18.auto.ru/all/images/55/89/60x45/55895933.jpg |  BMW 5er V (E60/E61) 525i2.5 AT (192 л.с.)  | #926547 | 530 000 |  2004  |  230 000 км  |  2.5 AT (192 л.с.)седан, бензин, задний  | Уфа | 24.12.14
1001135931-da34 | http://is2.auto.ru/all/images/04/e0/60x45/04e000ca.jpg |  BMW 5er IV (E39) 520i2.0 AT (150 л.с.)  | #0000FF | 298 000 |  1999  |  176 000 км  |  2.0 AT (150 л.с.)седан, бензин, задний  | Смоленск | 24.12.14
1005634049-a71d | http://is5.auto.ru/all/images/83/d3/60x45/83d3ab27.jpg |  BMW 5er V (E60/E61) 525xi2.5 AT (218 л.с.) 4WD  | #000000 | 750 000 |  2006  |  179 000 км  |  2.5 AT (218 л.с.) 4WDседан, бензин, полный  | Екатеринбург | 24.12.14
