1007290365-4cfa6 | http://is16.auto.ru/all/images/43/c0/60x45/43c00265.jpg |  Nissan X-Trail I2.5 AT (165 л.с.) 4WD  | #CACECB | 475 000 |  2005  |  110 210 км  |  2.5 AT (165 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007290243-bcc8d | http://is9.auto.ru/all/images/ab/a6/60x45/aba6e5ea.jpg |  Nissan X-Trail II Рестайлинг2.5 CVT (169 л.с.) 4WD  | #FFFFFF | 1 300 000 |  2013  |  41 079 км  |  2.5 CVT (169 л.с.) 4WDвнедорожник, бензин, полный  | Новотроицк | 23.01.15
1007290283-5358 | http://is4.auto.ru/all/images/51/9e/60x45/519edfe9.jpg |  Nissan X-Trail II Рестайлинг2.5 CVT (169 л.с.) 4WD  | #000000 | 955 000 |  2011  |  75 400 км  |  2.5 CVT (169 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007290273-43016d | http://is6.auto.ru/all/images/26/75/60x45/2675babe.jpg |  Nissan X-Trail II Рестайлинг2.0d AT (150 л.с.) 4WD  | #FFFFFF | 1 165 000 |  2012  |  42 100 км  |  2.0d AT (150 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007290105-bd75 | http://is10.auto.ru/all/images/2e/3a/60x45/2e3a1a69.jpg |  Nissan X-Trail II Рестайлинг2.5 CVT (169 л.с.) 4WD  | #000000 | 890 000 |  2011  |  67 900 км  |  2.5 CVT (169 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007290095-2cc4d7 | http://is17.auto.ru/all/images/8f/fa/60x45/8ffa7e9e.jpg |  Nissan X-Trail I2.0 AT (140 л.с.) 4WD  | #000000 | 515 000 |  2006  |  85 714 км  |  2.0 AT (140 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007290003-c8359 | http://is8.auto.ru/all/images/c9/48/60x45/c9480b5e.jpg |  Nissan X-Trail I2.5 AT (165 л.с.) 4WD  | #CACECB | 500 000 |  2005  |  89 300 км  |  2.5 AT (165 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1006734111-ff4d9 | http://is16.auto.ru/all/images/ca/6c/60x45/ca6cb7bd.jpg |  Nissan X-Trail II2.0 CVT (140 л.с.) 4WD  | #FFCC00 | 800 000 Правый руль |  2010  |  88 000 км  |  2.0 CVT (140 л.с.) 4WDвнедорожник, бензин, полный  | Ижевск | 23.01.15
1007289723-072e3 | http://is8.auto.ru/all/images/53/38/60x45/53387858.jpg |  Nissan X-Trail II Рестайлинг2.0d AT (150 л.с.) 4WD  | #000000 | 1 077 777 |  2011  |  56 754 км  |  2.0d AT (150 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007286427-f8a37 | http://is6.auto.ru/all/images/94/5f/60x45/945f6872.jpg |  Nissan X-Trail II2.5 CVT (169 л.с.) 4WD  | #CACECB | 733 333 |  2009  |  63 000 км  |  2.5 CVT (169 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
