1007285533-8dfdb | http://is6.auto.ru/all/images/b4/d3/60x45/b4d3c19f.jpg |  Mercedes-Benz C-klasse III (W204) 2001.8 AT (184 л.с.)  | #CACECB | 822 000 |  2008  |  89 000 км  |  1.8 AT (184 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007285413-a84a9 | http://is9.auto.ru/all/images/02/20/60x45/02207224.jpg |  Mercedes-Benz C-klasse III (W204) 2001.8 AT (184 л.с.)  | #9c9999 | 989 000 |  2009  |  61 000 км  |  1.8 AT (184 л.с.)седан, бензин, задний  | Санкт-Петербург | 23.01.15
1006632989-1bc9 | http://is8.auto.ru/all/images/2d/99/60x45/2d99b986.jpg |  Mercedes-Benz C-klasse III (W204) Рестайлинг 1801.6 AT (156 л.с.)  | #9c9999 | 1 300 000 |  2013  |  41 800 км  |  1.6 AT (156 л.с.)седан, бензин, задний  | Подольск | 23.01.15
1007285027-1ce5bd | http://is3.auto.ru/all/images/f0/5f/60x45/f05fcca3.jpg |  Mercedes-Benz C-klasse III (W204) Рестайлинг 1801.6 AT (156 л.с.)  | #FFFFFF | 1 447 700 |  2014  |  21 800 км  |  1.6 AT (156 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007284761-ace8 | http://is11.auto.ru/all/images/9f/88/60x45/9f880049.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 2001.8 AT (163 л.с.)  | #9c9999 | 657 700 |  2006  |  97 590 км  |  1.8 AT (163 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007284527-6245a | http://is15.auto.ru/all/images/ed/0e/60x45/ed0eb04f.jpg |  Mercedes-Benz C-klasse III (W204) Рестайлинг 1801.8 AT (156 л.с.) BlueEFFICIENCY  | #FFFFFF | 1 190 000 |  2012  |  20 600 км  |  1.8 AT (156 л.с.) BlueEFFICIENCYседан, бензин, задний  | Москва | 23.01.15
1007284545-23d43 | http://is16.auto.ru/all/images/88/3e/60x45/883e1f93.jpg |  Mercedes-Benz C-klasse II (W203) 2402.6 AT (170 л.с.)  | #0000FF | 355 555 |  2003  |  150 000 км  |  2.6 AT (170 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007283849-98a577 | http://is2.auto.ru/all/images/d3/c9/60x45/d3c9e392.jpg |  Mercedes-Benz C-klasse II (W203) 1802.0 AT (129 л.с.)  | #000000 | 429 000 |  2003  |  147 000 км  |  2.0 AT (129 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007283811-00ab11 | http://is18.auto.ru/all/images/67/0b/60x45/670bce71.jpg |  Mercedes-Benz C-klasse IV (W205) 1801.6 AT (156 л.с.)  | #CACECB | 1 999 000 |  2014  |  2 560 км  |  1.6 AT (156 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007283805-f466 | http://is16.auto.ru/all/images/f2/c7/60x45/f2c7025e.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 2001.8 AT (163 л.с.)  | #000000 | 579 000 |  2006  |  95 000 км  |  1.8 AT (163 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007283229-3031 | http://is5.auto.ru/all/images/7c/e8/60x45/7ce8ab10.jpg |  Mercedes-Benz C-klasse III (W204) 2001.8 MT (184 л.с.)  | #0000FF | 575 000 |  2007  |  72 000 км  |  1.8 MT (184 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007283081-e428f | http://is3.auto.ru/all/images/01/7e/60x45/017e304a.jpg |  Mercedes-Benz C-klasse I (W202) 1801.8 AT (122 л.с.)  | #0000FF | 250 000 |  1997  |  184 000 км  |  1.8 AT (122 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007283139-191be | http://is9.auto.ru/all/images/eb/fc/60x45/ebfc05b1.jpg |  Mercedes-Benz C-klasse III (W204) 2803.0 AT (231 л.с.) 4WD  | #FF0000 | 970 000 |  2009  |  89 000 км  |  3.0 AT (231 л.с.) 4WDседан, бензин, полный  | Москва | 23.01.15
1007282601-f0078 | http://is17.auto.ru/all/images/f9/47/60x45/f947071a.jpg |  Mercedes-Benz C-klasse I (W202) 2002.0 AT (136 л.с.)  | #0000FF | 215 000 |  1997  |  189 000 км  |  2.0 AT (136 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007282495-710cd | http://is14.auto.ru/all/images/18/e2/60x45/18e2f797.jpg |  Mercedes-Benz C-klasse III (W204) 2302.5 AT (204 л.с.)  | #000000 | 680 000 |  2008  |  76 000 км  |  2.5 AT (204 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007280385-2746a6 | http://is7.auto.ru/all/images/cb/e1/60x45/cbe16da1.jpg |  Mercedes-Benz C-klasse II (W203) 2202.2d AT (143 л.с.)  | #CACECB | 365 000 |  2004  |  147 325 км  |  2.2d AT (143 л.с.)универсал, дизель, задний  | Москва | 23.01.15
1007280563-8f683 | /i/all7/img/no-photo-thumb.gif |  Mercedes-Benz C-klasse II (W203) Рестайлинг 2301.8 AT (192 л.с.)  | #9c9999 | 495 000 |  2005  |  124 500 км  |  1.8 AT (192 л.с.)седан, бензин, задний  | Москва | 23.01.15
