1005692043-894fc | http://is7.auto.ru/all/images/a7/53/60x45/a75348ec.jpg |  Kia Rio III1.4 AT (107 л.с.)  | #000000 | 495 000 |  2012  |  19 537 км  |  1.4 AT (107 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005692175-cb90f9 | http://is14.auto.ru/all/images/93/c0/60x45/93c02b77.jpg |  Kia Rio III1.6 AT (123 л.с.) 4-speed  | #CACECB | 560 000 |  2013  |  25 369 км  |  1.6 AT (123 л.с.) 4-speedседан, бензин, передний  | Москва | 23.01.15
1007282755-0dad5 | http://is18.auto.ru/all/images/60/83/60x45/6083aefc.jpg |  Kia Rio III1.6 AT (123 л.с.) 4-speed  | #CACECB | 590 000 |  2013  |  57 000 км  |  1.6 AT (123 л.с.) 4-speedседан, бензин, передний  | Москва | 23.01.15
1006734637-3e120c | http://is9.auto.ru/all/images/19/e6/60x45/19e6055f.jpg |  Kia Rio II Рестайлинг1.4 AT (97 л.с.)  | #FFCC00 | 415 000 |  2011  |  45 000 км  |  1.4 AT (97 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007281059-4e356 | http://is10.auto.ru/all/images/5f/07/60x45/5f07a050.jpg |  Kia Rio III1.4 MT (107 л.с.)  | #FF9966 | 355 000 |  2011  |  67 000 км  |  1.4 MT (107 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007283371-bcd453 | http://is3.auto.ru/all/images/1b/a8/60x45/1ba83544.jpg |  Kia Rio II1.6 MT (112 л.с.)  | #000000 | 275 000 |  2008  |  78 000 км  |  1.6 MT (112 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006816583-3630 | http://is17.auto.ru/all/images/fc/a5/60x45/fca5bc03.jpg |  Kia Rio III1.6 MT (123 л.с.) 5-speed  | #9c9999 | 500 000 |  2012  |  20 000 км  |  1.6 MT (123 л.с.) 5-speedхэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
36507592-5152 | http://is13.auto.ru/all/images/46/bf/60x45/46bf1021.jpg |  Kia Rio II Рестайлинг1.4 MT (97 л.с.)  | #9c9999 | 285 000 |  2010  |  75 000 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007297749-9c5212 | http://is6.auto.ru/all/images/81/20/60x45/81207698.jpg |  Kia Rio III1.6 AT (123 л.с.) 4-speed  | #0088ff | 542 000 |  2011  |  41 000 км  |  1.6 AT (123 л.с.) 4-speedседан, бензин, передний  | Москва | 23.01.15
1007297947-cf039 | http://is3.auto.ru/all/images/6f/0c/60x45/6f0c920f.jpg |  Kia Rio III1.6 AT (123 л.с.) 4-speed  | #000000 | 250 000 |  2013  |  20 000 км  |  1.6 AT (123 л.с.) 4-speedседан, бензин, передний  | Москва | 23.01.15
1007170213-a7d848 | http://is17.auto.ru/all/images/cd/e9/60x45/cde9c6e7.jpg |  Kia Rio I1.3 AT (82 л.с.)  | #0088ff | 170 000 |  2002  |  160 000 км  |  1.3 AT (82 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007297717-2e1c4 | http://is8.auto.ru/all/images/28/80/60x45/28806741.jpg |  Kia Rio II Рестайлинг1.4 MT (97 л.с.)  | #9c9999 | 380 000 |  2010  |  64 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005259319-6adfb4 | http://is12.auto.ru/all/images/79/f8/60x45/79f86412.jpg |  Kia Rio III1.6 AT (123 л.с.) 4-speed  | #9c9999 | 650 000 |  2014  |  15 100 км  |  1.6 AT (123 л.с.) 4-speedседан, бензин, передний  | Первоуральск | 23.01.15
1007280681-fbba8 | http://is2.auto.ru/all/images/35/8d/60x45/358d395a.jpg |  Kia Rio II Рестайлинг1.4 MT (97 л.с.)  | #FF9966 | 375 000 |  2011  |  38 000 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007101395-545498 | http://is8.auto.ru/all/images/4f/19/60x45/4f19ff09.jpg |  Kia Rio II Рестайлинг1.4 MT (97 л.с.)  | #9c9999 | 280 000 |  2010  |  75 000 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
