1005241755-2255c0 | http://is9.auto.ru/all/images/96/04/60x45/96044119.jpg |  Skoda Fabia II Рестайлинг1.6 AT (105 л.с.)  | #FFFFFF | 569 000 |  2011  |  32 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005241753-f13fd | http://is3.auto.ru/all/images/35/04/60x45/3504fcd3.jpg |  Skoda Fabia II Рестайлинг1.6 AT (105 л.с.)  | #34ba2b | 751 080 |  2012  |  34 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007297365-521f | http://is18.auto.ru/all/images/46/a4/60x45/46a48df0.jpg |  Skoda Fabia I1.4 MT (68 л.с.)  | #0088ff | 215 000 |  2003  |  144 000 км  |  1.4 MT (68 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
49917726-08f394 | http://is15.auto.ru/all/images/3e/5e/60x45/3e5edfe2.jpg |  Skoda Fabia II Рестайлинг1.4 MT (86 л.с.)  | #CACECB | 520 000 |  2012  |  12 800 км  |  1.4 MT (86 л.с.)хэтчбек, бензин, передний  | Брянск | 23.01.15
1007294869-712e | http://is7.auto.ru/all/images/b4/43/60x45/b443a1d8.jpg |  Skoda Fabia II1.2 MT (70 л.с.)  | #9c9999 | 339 000 |  2009  |  53 000 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Ярославль | 23.01.15
1005805329-73b3 | http://is5.auto.ru/all/images/bd/8b/60x45/bd8bc87b.jpg |  Skoda Fabia I1.4 MT (68 л.с.)  | #CACECB | 198 000 |  2002  |  167 000 км  |  1.4 MT (68 л.с.)седан, бензин, передний  | Дмитров | 23.01.15
1007280373-6789 | http://is9.auto.ru/all/images/3d/7f/60x45/3d7f8a12.jpg |  Skoda Fabia II1.6 AT (105 л.с.)  | #FF0000 | 419 000 |  2010  |  39 125 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007280843-db459 | http://is4.auto.ru/all/images/73/43/60x45/7343f911.jpg |  Skoda Fabia II1.2 MT (70 л.с.)  | #FF9966 | 315 000 |  2010  |  57 000 км  |  1.2 MT (70 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007280825-887ccc | http://is1.auto.ru/all/images/25/54/60x45/25542bf3.jpg |  Skoda Fabia II1.4 MT (86 л.с.)  | #9c9999 | 315 000 |  2009  |  82 000 км  |  1.4 MT (86 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007296531-6296 | http://is10.auto.ru/all/images/27/26/60x45/2726037e.jpg |  Skoda Fabia II1.4 MT (86 л.с.)  | #CACECB | 350 000 |  2008  |  154 000 км  |  1.4 MT (86 л.с.)универсал, бензин, передний  | Пермь | 23.01.15
1007147731-353f1 | http://is7.auto.ru/all/images/a0/aa/60x45/a0aa9701.jpg |  Skoda Fabia II Рестайлинг Scout1.6 AT (105 л.с.)  | #FFFFFF | 590 000 |  2014  |  14 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007226493-ca006 | http://is8.auto.ru/all/images/ef/f6/60x45/eff692d5.jpg |  Skoda Fabia II Рестайлинг1.4 MT (86 л.с.)  | #0088ff | 410 000 |  2011  |  56 000 км  |  1.4 MT (86 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005254945-ce06a | http://is8.auto.ru/all/images/b0/33/60x45/b033d8a7.jpg |  Skoda Fabia II1.6 AT (105 л.с.)  | #9c9999 | 470 000 |  2010  |  60 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007037963-7b94 | http://is10.auto.ru/all/images/34/26/60x45/3426bdc5.jpg |  Skoda Fabia I1.4 MT (68 л.с.)  | #9c9999 | 195 000 |  2000  |  150 000 км  |  1.4 MT (68 л.с.)хэтчбек, бензин, передний  | Орехово-Зуево | 23.01.15
