1007284797-8384db | http://is1.auto.ru/all/images/43/4d/60x45/434d4b31.jpg |  Kia Sportage III2.0 MT (150 л.с.)  | #926547 | 927 700 |  2013  |  43 900 км  |  2.0 MT (150 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007284437-c3a2e0 | http://is18.auto.ru/all/images/d9/76/60x45/d976ef26.jpg |  Kia Sportage II Рестайлинг2.0 MT (142 л.с.)  | #000000 | 649 900 |  2009  |  53 537 км  |  2.0 MT (142 л.с.)внедорожник, бензин, передний  | Санкт-Петербург | 23.01.15
1007283965-eec440 | http://is14.auto.ru/all/images/8b/a0/60x45/8ba0bac4.jpg |  Kia Sportage III2.0d AT (136 л.с.)  | #CACECB | 899 000 |  2010  |  32 030 км  |  2.0d AT (136 л.с.)внедорожник, дизель, передний  | Санкт-Петербург | 23.01.15
1007283077-ffdef | http://is9.auto.ru/all/images/b4/57/60x45/b4579267.jpg |  Kia Sportage II Рестайлинг2.0 MT (142 л.с.) 4WD  | #9c9999 | 590 000 |  2010  |  85 861 км  |  2.0 MT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007283135-1dbb | http://is6.auto.ru/all/images/05/74/60x45/05744c38.jpg |  Kia Sportage III2.0 AT (150 л.с.) 4WD  | #9c9999 | 1 190 000 |  2014  |  11 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282989-2560e | http://is16.auto.ru/all/images/dd/ff/60x45/ddfff177.jpg |  Kia Sportage I2.0 MT (128 л.с.) 4WD  | #ffefd5 | 258 000 |  2005  |  124 000 км  |  2.0 MT (128 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282811-1c9ad | http://is7.auto.ru/all/images/28/6a/60x45/286af131.jpg |  Kia Sportage I2.0 MT (128 л.с.) 4WD  | #000000 | 315 000 |  2006  |  88 000 км  |  2.0 MT (128 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282843-bd69f | http://is13.auto.ru/all/images/9a/d1/60x45/9ad1a75d.jpg |  Kia Sportage II2.0 MT (142 л.с.) 4WD  | #ffefd5 | 565 000 |  2007  |  99 000 км  |  2.0 MT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282405-d39b89 | http://is17.auto.ru/all/images/26/36/60x45/26363f14.jpg |  Kia Sportage II2.0d MT (140 л.с.) 4WD  | #0000FF | 550 000 |  2008  |  65 176 км  |  2.0d MT (140 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007281983-0478e9 | http://is2.auto.ru/all/images/35/65/60x45/356515c3.jpg |  Kia Sportage III2.0 MT (150 л.с.) 4WD  | #0000FF | 605 000 |  2011  |  64 150 км  |  2.0 MT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282011-3b18b | http://is18.auto.ru/all/images/3f/52/60x45/3f523a91.jpg |  Kia Sportage III2.0 MT (150 л.с.) 4WD  | #000000 | 645 000 |  2011  |  65 495 км  |  2.0 MT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007281903-133e | http://is17.auto.ru/all/images/90/d1/60x45/90d1f2f6.jpg |  Kia Sportage II Рестайлинг2.0 MT (142 л.с.) 4WD  | #000000 | 545 000 |  2009  |  72 000 км  |  2.0 MT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007281895-913ca | http://is13.auto.ru/all/images/8a/db/60x45/8adbd16f.jpg |  Kia Sportage II Рестайлинг2.0d MT (140 л.с.) 4WD  | #CACECB | 605 000 |  2009  |  78 000 км  |  2.0d MT (140 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007281819-3f055 | http://is11.auto.ru/all/images/74/60/60x45/74600a64.jpg |  Kia Sportage II Рестайлинг2.0d MT (140 л.с.) 4WD  | #9c9999 | 570 000 |  2010  |  77 612 км  |  2.0d MT (140 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
