1002105103-c929a9 | http://is9.auto.ru/all/images/5e/78/60x45/5e78142c.jpg |  Kia Sorento I Рестайлинг2.5d AT (170 л.с.) 4WD  | #CACECB | 590 000 |  2007  |  99 000 км  |  2.5d AT (170 л.с.) 4WDвнедорожник, дизель, полный  | Волгодонск | 23.01.15
1007280679-d80ac4 | http://is18.auto.ru/all/images/e0/20/60x45/e0205577.jpg |  Kia Sorento I Рестайлинг2.5d MT (170 л.с.) 4WD ИжАвто  | #000000 | 650 000 |  2011  |  53 000 км  |  2.5d MT (170 л.с.) 4WD ИжАвтовнедорожник, дизель, полный  | Москва | 23.01.15
1007280487-89e758 | http://is15.auto.ru/all/images/3c/97/60x45/3c979766.jpg |  Kia Sorento I Рестайлинг2.5d MT (170 л.с.) 4WD  | #CACECB | 650 000 |  2009  |  98 000 км  |  2.5d MT (170 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007294443-a60abb | http://is15.auto.ru/all/images/20/49/60x45/204904e4.jpg |  Kia Sorento I Рестайлинг2.5d AT (170 л.с.) 4WD  | #9c9999 | 750 000 |  2008  |  73 000 км  |  2.5d AT (170 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007264901-2b31 | http://is9.auto.ru/all/images/f8/fa/60x45/f8fa87cb.jpg |  Kia Sorento I Рестайлинг3.3 AT (248 л.с.) 4WD  | #CACECB | 599 000 |  2009  |  86 390 км  |  3.3 AT (248 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1006878487-bf8088 | http://is18.auto.ru/all/images/2d/44/60x45/2d44ab93.jpg |  Kia Sorento I2.5d AT (140 л.с.) 4WD  | #CACECB | 390 000 |  2002  |  207 300 км  |  2.5d AT (140 л.с.) 4WDвнедорожник, дизель, полный  | Санкт-Петербург | 23.01.15
1002022379-a5c3 | http://is14.auto.ru/all/images/b3/69/60x45/b3691647.jpg |  Kia Sorento I2.4 MT (139 л.с.) 4WD  | #CACECB | 480 000 |  2005  |  110 000 км  |  2.4 MT (139 л.с.) 4WDвнедорожник, бензин, полный  | Орел | 23.01.15
1003342964-0bed78 | http://is9.auto.ru/all/images/ee/fc/60x45/eefca283.jpg |  Kia Sorento I Рестайлинг2.5d AT (170 л.с.) 4WD  | #000000 | 900 000 |  2007  |  89 000 км  |  2.5d AT (170 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007097125-59ce93 | http://is12.auto.ru/all/images/78/f2/60x45/78f27b65.jpg |  Kia Sorento II Рестайлинг2.4 AT (175 л.с.) 4WD  | #000000 | 1 355 000 |  2012  |  30 000 км  |  2.4 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007293085-33ece | http://is7.auto.ru/all/images/69/f6/60x45/69f65190.jpg |  Kia Sorento II2.4 AT (175 л.с.) 4WD  | #FFFFFF | 1 180 000 |  2010  |  92 000 км  |  2.4 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Уфа | 23.01.15
