1004483471-9c28a0 | http://is6.auto.ru/all/images/7a/08/60x45/7a08836d.jpg |  Ford Focus III1.6 AT (125 л.с.)  | #9c9999 | 747 660 |  2012  |  34 488 км  |  1.6 AT (125 л.с.)седан, бензин, передний  | Москва | 22.12.14
1004147261-3e51 | http://is3.auto.ru/all/images/a8/53/60x45/a8537ae3.jpg |  Ford Focus III1.6 AT (125 л.с.)  | #000000 | 754 800 |  2012  |  41 591 км  |  1.6 AT (125 л.с.)седан, бензин, передний  | Москва | 22.12.14
1004773781-106af9 | http://is8.auto.ru/all/images/37/24/60x45/37245b96.jpg |  Ford Focus III2.0 AT (150 л.с.)  | #9c9999 | 754 800 |  2013  |  44 090 км  |  2.0 AT (150 л.с.)хэтчбек, бензин, передний  | Москва | 22.12.14
1002409587-d6b87 | http://is5.auto.ru/all/images/7e/8d/60x45/7e8d389e.jpg |  Ford Focus III1.6 AT (105 л.с.)  | #FFFFFF | 802 740 |  2013  |  19 428 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.12.14
1003960612-563d3d | http://is9.auto.ru/all/images/c8/6b/60x45/c86b0958.jpg |  Ford Focus II Рестайлинг1.6 MT (100 л.с.)  | #000000 | 494 700 |  2010  |  67 861 км  |  1.6 MT (100 л.с.)седан, бензин, передний  | Москва | 23.12.14
1005568923-0eb4 | http://is4.auto.ru/all/images/88/43/60x45/8843918e.jpg |  Ford Focus II Рестайлинг2.0 AT (145 л.с.)  | #000000 | 630 000 |  2010  |  143 000 км  |  2.0 AT (145 л.с.)седан, бензин, передний  | Домодедово | 23.12.14
1005568073-451cd | http://is7.auto.ru/all/images/6f/fc/60x45/6ffc1373.jpg |  Ford Focus II Рестайлинг1.6 MT (100 л.с.)  | #CACECB | 439 999 |  2011  |  37 000 км  |  1.6 MT (100 л.с.)хэтчбек, бензин, передний  | Череповец | 23.12.14
1005565673-863cb | http://is11.auto.ru/all/images/4f/6c/60x45/4f6c0ed0.jpg |  Ford Focus II1.6 MT (100 л.с.)  | #FFFFFF | 385 000 |  2007  |  125 000 км  |  1.6 MT (100 л.с.)хэтчбек, бензин, передний  | Воронеж | 23.12.14
1005565645-2719 | http://is13.auto.ru/all/images/3f/98/60x45/3f9825b0.jpg |  Ford Focus II Рестайлинг1.6 MT (100 л.с.)  | #9c9999 | 465 000 |  2010  |  101 000 км  |  1.6 MT (100 л.с.)седан, бензин, передний  | Троицк | 23.12.14
1005568603-420338 | /i/all7/img/no-photo-thumb.gif |  Ford Focus II Рестайлинг1.8 MT (125 л.с.)  | #000000 | 420 000 |  2010  |  75 000 км  |  1.8 MT (125 л.с.)хэтчбек, бензин, передний  | Москва | 23.12.14
1005568193-8251cb | http://is15.auto.ru/all/images/ab/ed/60x45/abed6aa3.jpg |  Ford Focus II1.6 MT (115 л.с.)  | #0088ff | 278 000 |  2005  |  94 000 км  |  1.6 MT (115 л.с.)седан, бензин, передний  | Семенов | 23.12.14
