1007153897-f4c9 | http://is14.auto.ru/all/images/66/c9/60x45/66c9fad6.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #000000 | 855 555 |  2011  |  42 189 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Москва | 21.01.15
1007095023-0a91 | http://is4.auto.ru/all/images/1f/4f/60x45/1f4f379b.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #FF0000 | 290 000 |  2008  |  200 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Москва | 20.01.15
1007094583-e9a3a | http://is4.auto.ru/all/images/7d/42/60x45/7d4280d9.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #0000FF | 577 700 |  2007  |  152 172 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Москва | 20.01.15
38458632-326522 | http://is6.auto.ru/all/images/c2/36/60x45/c2367317.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #926547 | 599 000 |  2008  |  115 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Бежецк | 18.01.15
1003700930-808a | http://is12.auto.ru/all/images/29/26/60x45/29267b44.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #CACECB | 800 000 |  2010  |  102 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Москва | 18.01.15
1006751819-86b63 | http://is9.auto.ru/all/images/e9/b8/60x45/e9b8bfef.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #000000 | 600 000 |  2008  |  171 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Санкт-Петербург | 18.01.15
1006873173-6248 | http://is12.auto.ru/all/images/86/66/60x45/86666d50.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #0000FF | 605 000 |  2008  |  70 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Москва | 18.01.15
1006937699-e530 | http://is6.auto.ru/all/images/b3/27/60x45/b3275431.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #0000FF | 617 000 |  2007  |  67 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Москва | 18.01.15
1002294317-63277 | /i/all7/img/no-photo-thumb.gif |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #9c9999 | 590 000 |  2008  |  70 300 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Воронеж | 18.01.15
1002363733-7a89a | http://is3.auto.ru/all/images/e7/8f/60x45/e78f0bd5.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #9c9999 | 615 000 |  2009  |  70 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Воронеж | 17.01.15
1002430529-5ba49 | http://is6.auto.ru/all/images/fb/13/60x45/fb136a27.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #9c9999 | 720 000 |  2010  |  136 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Домодедово | 17.01.15
1006931837-cb119 | http://is8.auto.ru/all/images/e1/49/60x45/e14972f6.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #0000FF | 665 000 |  2007  |  124 434 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Москва | 17.01.15
1006884771-1d37 | http://is4.auto.ru/all/images/1a/66/60x45/1a66b9c6.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #9c9999 | 530 000 |  2007  |  178 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Сестрорецк | 17.01.15
1002490179-2315 | http://is17.auto.ru/all/images/d1/62/60x45/d16225bb.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #926547 | 680 000 |  2010  |  69 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Вологда | 16.01.15
