1007290881-07fed7 | http://is1.auto.ru/all/images/95/02/60x45/950219db.jpg |  Toyota Avensis II Рестайлинг2.0 AT (147 л.с.)  | #CACECB | 575 000 |  2008  |  82 120 км  |  2.0 AT (147 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290683-f452 | http://is15.auto.ru/all/images/68/58/60x45/6858d183.jpg |  Toyota Avensis II1.8 MT (129 л.с.)  | #000000 | 480 000 |  2006  |  87 300 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290729-bbfbb1 | http://is15.auto.ru/all/images/5c/15/60x45/5c15352f.jpg |  Toyota Avensis II Рестайлинг2.0 MT (147 л.с.)  | #CACECB | 480 000 |  2007  |  92 300 км  |  2.0 MT (147 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007287071-735a | http://is6.auto.ru/all/images/29/76/60x45/2976a634.jpg |  Toyota Avensis III2.0d MT (126 л.с.)  | #9c9999 | 830 000 |  2009  |  150 000 км  |  2.0d MT (126 л.с.)седан, дизель, передний  | Санкт-Петербург | 23.01.15
1007286867-cdc7f | http://is8.auto.ru/all/images/0d/c4/60x45/0dc4e609.jpg |  Toyota Avensis II2.0 AT (147 л.с.)  | #CACECB | 479 000 |  2006  |  114 711 км  |  2.0 AT (147 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007285619-b32d | http://is17.auto.ru/all/images/14/a9/60x45/14a97b33.jpg |  Toyota Avensis II2.0 AT (147 л.с.)  | #000000 | 455 555 |  2005  |  97 000 км  |  2.0 AT (147 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007285555-147a | http://is8.auto.ru/all/images/1b/a6/60x45/1ba615c4.jpg |  Toyota Avensis II1.8 MT (129 л.с.)  | #000000 | 433 333 |  2005  |  78 642 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007283701-3b752 | http://is16.auto.ru/all/images/68/de/60x45/68de5c15.jpg |  Toyota Avensis II Рестайлинг1.8 MT (129 л.с.)  | #9c9999 | 470 000 |  2006  |  98 777 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007283491-431d | http://is8.auto.ru/all/images/8a/3a/60x45/8a3a7de2.jpg |  Toyota Avensis II2.0 MT (147 л.с.)  | #FF0000 | 425 000 |  2004  |  78 000 км  |  2.0 MT (147 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007282211-61c3b | /i/all7/img/no-photo-thumb.gif |  Toyota Avensis II Рестайлинг1.8 AT (129 л.с.)  | #000000 | 470 000 |  2009  |  47 000 км  |  1.8 AT (129 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007281541-2953 | http://is2.auto.ru/all/images/b8/ab/60x45/b8ab934f.jpg |  Toyota Avensis II1.8 MT (129 л.с.)  | #CACECB | 460 000 |  2006  |  94 000 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007279873-e90b32 | http://is12.auto.ru/all/images/6b/ad/60x45/6bade808.jpg |  Toyota Avensis II Рестайлинг1.8 MT (129 л.с.)  | #CACECB | 610 000 |  2008  |  119 550 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007278487-8054e4 | http://is18.auto.ru/all/images/e0/a7/60x45/e0a7f30c.jpg |  Toyota Avensis II1.8 MT (129 л.с.)  | #926547 | 424 000 |  2006  |  118 000 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Коломна | 23.01.15
1005286367-a95d | http://is4.auto.ru/all/images/bf/02/60x45/bf02edfc.jpg |  Toyota Avensis II2.0 MT (147 л.с.)  | #CACECB | 450 000 |  2005  |  144 000 км  |  2.0 MT (147 л.с.)седан, бензин, передний  | Иваново | 23.01.15
1007275915-ed0208 | http://is8.auto.ru/all/images/8b/15/60x45/8b15ac48.jpg |  Toyota Avensis II2.0 AT (147 л.с.)  | #CACECB | 475 000 |  2006  |  122 000 км  |  2.0 AT (147 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007276043-2e19c5 | http://is16.auto.ru/all/images/30/32/60x45/30320a52.jpg |  Toyota Avensis II1.8 MT (129 л.с.)  | #000000 | 505 000 |  2006  |  95 000 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007276073-ac21c1 | http://is13.auto.ru/all/images/60/4d/60x45/604db217.jpg |  Toyota Avensis II Рестайлинг1.8 AT (129 л.с.)  | #CACECB | 695 000 |  2008  |  69 000 км  |  1.8 AT (129 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007270999-ab83b | http://is17.auto.ru/all/images/3b/79/60x45/3b7962ec.jpg |  Toyota Avensis II1.8 MT (129 л.с.)  | #FF0000 | 449 000 |  2007  |  91 200 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007271005-7f57f | http://is17.auto.ru/all/images/54/49/60x45/54496906.jpg |  Toyota Avensis II2.0 AT (147 л.с.)  | #ffefd5 | 453 000 |  2005  |  72 000 км  |  2.0 AT (147 л.с.)седан, бензин, передний  | Москва | 23.01.15
