1005574179-e9433 | /i/all7/img/no-photo-thumb.gif |  BMW X5 II (E70) 30d3.0d AT (235 л.с.) 4WD  | #FFFFFF | 2 300 000 |  2010  |  145 000 км  |  3.0d AT (235 л.с.) 4WDвнедорожник, дизель, полный  | Котлас | 23.12.14
1005574003-5ae8a4 | http://is9.auto.ru/all/images/a5/f5/60x45/a5f53ca5.jpg |  BMW X5 I (E53) Рестайлинг4.4 AT (320 л.с.) 4WD  | #000000 | 920 000 |  2004  |  200 000 км  |  4.4 AT (320 л.с.) 4WDвнедорожник, бензин, полный  | Ярославль | 23.12.14
1005574059-f4ab1a | http://is1.auto.ru/all/images/50/c3/60x45/50c33ef0.jpg |  BMW X5 II (E70)3.0 AT (272 л.с.) 4WD  | #000000 | 1 400 000 |  2008  |  120 км  |  3.0 AT (272 л.с.) 4WDвнедорожник, бензин, полный  | Челябинск | 23.12.14
1005574585-0a3d | http://is9.auto.ru/all/images/67/96/60x45/67960a8a.jpg |  BMW X5 I (E53)3.0 AT (231 л.с.) 4WD  | #CACECB | 700 000 |  2005  |  140 000 км  |  3.0 AT (231 л.с.) 4WDвнедорожник, бензин, полный  | Брянск | 23.12.14
1005575601-27f99c | http://is15.auto.ru/all/images/ab/84/60x45/ab841bfc.jpg |  BMW X5 II (E70) 48i4.8 AT (355 л.с.) 4WD  | #000000 | 1 350 000 |  2007  |  160 000 км  |  4.8 AT (355 л.с.) 4WDвнедорожник, бензин, полный  | Рязань | 23.12.14
1005579069-ac05 | http://is4.auto.ru/all/images/3e/21/60x45/3e21a652.jpg |  BMW X5 I (E53) Рестайлинг4.4 AT (320 л.с.) 4WD  | #CACECB | 720 000 |  2004  |  171 000 км  |  4.4 AT (320 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.12.14
1005579815-71368 | http://is17.auto.ru/all/images/5a/1f/60x45/5a1f5dde.jpg |  BMW X5 II (E70) Рестайлинг 40d3.0d AT (306 л.с.) 4WD  | #9c9999 | 2 285 000 |  2010  |  32 000 км  |  3.0d AT (306 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.12.14
1005579427-129df2 | http://is4.auto.ru/all/images/bf/f4/60x45/bff40777.jpg |  BMW X5 II (E70) 30d3.0d AT (235 л.с.) 4WD  | #000000 | 1 600 000 |  2009  |  142 000 км  |  3.0d AT (235 л.с.) 4WDвнедорожник, дизель, полный  | Санкт-Петербург | 23.12.14
1005580939-b4a4fc | http://is14.auto.ru/all/images/8a/17/60x45/8a173d5c.jpg |  BMW X5 I (E53)4.4 AT (286 л.с.) 4WD  | #CACECB | 470 000 |  2001  |  189 000 км  |  4.4 AT (286 л.с.) 4WDвнедорожник, бензин, полный  | Брянск | 23.12.14
1005579949-2d06 | http://is18.auto.ru/all/images/ac/7e/60x45/ac7e8c75.jpg |  BMW X5 I (E53)4.4 AT (286 л.с.) 4WD  | #000000 | 650 000 |  2001  |  280 000 км  |  4.4 AT (286 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.12.14
1005579973-91be78 | /i/all7/img/no-photo-thumb.gif |  BMW X5 II (E70) 48i4.8 AT (355 л.с.) 4WD  | #000000 | 1 400 000 |  2008  |  110 000 км  |  4.8 AT (355 л.с.) 4WDвнедорожник, бензин, полный  | Тверь | 23.12.14
1005583347-ba7136 | /i/all7/img/no-photo-thumb.gif |  BMW X5 I (E53)4.4 AT (286 л.с.) 4WD  | #000000 | 680 000 |  2002  |  119 000 км  |  4.4 AT (286 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.12.14
1005586229-99392 | /i/all7/img/no-photo-thumb.gif |  BMW X5 I (E53)2.9d AT (184 л.с.) 4WD  | #CACECB | 710 000 |  2003  |  230 000 км  |  2.9d AT (184 л.с.) 4WDвнедорожник, дизель, полный  | Смоленск | 23.12.14
1005586547-5b3af6 | http://is6.auto.ru/all/images/f9/fc/60x45/f9fc21f3.jpg |  BMW X5 I (E53)3.0 AT (231 л.с.) 4WD  | #000000 | 690 000 |  2004  |  150 000 км  |  3.0 AT (231 л.с.) 4WDвнедорожник, бензин, полный  | Чебоксары | 23.12.14
1005588373-b8aeec | http://is18.auto.ru/all/images/36/83/60x45/36836a10.jpg |  BMW X5 II (E70) Рестайлинг 30d3.0d AT (245 л.с.) 4WD  | #0000FF | 2 500 000 |  2011  |  100 000 км  |  3.0d AT (245 л.с.) 4WDвнедорожник, дизель, полный  | Санкт-Петербург | 24.12.14
1005588323-6867f7 | http://is5.auto.ru/all/images/19/fc/60x45/19fcff72.jpg |  BMW X5 I (E53) Рестайлинг4.8 AT (360 л.с.) 4WD  | #0000FF | 900 000 |  2005  |  148 000 км  |  4.8 AT (360 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 24.12.14
1005588959-bd503d | http://is5.auto.ru/all/images/21/68/60x45/2168976d.jpg |  BMW X5 I (E53)3.0 AT (231 л.с.) 4WD  | #CACECB | 450 000 |  2001  |  230 000 км  |  3.0 AT (231 л.с.) 4WDвнедорожник, бензин, полный  | Смоленск | 24.12.14
45106448-44c284 | http://is2.auto.ru/all/images/c8/cf/60x45/c8cf6f4d.jpg |  BMW X5 II (E70) Рестайлинг 35i3.0 AT (306 л.с.) 4WD  | #FFFFFF | 1 990 000 |  2011  |  82 000 км  |  3.0 AT (306 л.с.) 4WDвнедорожник, бензин, полный  | Оренбург | 24.12.14
1005632701-0e14fc | http://is8.auto.ru/all/images/a2/8a/60x45/a28ad995.jpg |  BMW X5 II (E70) 30i3.0 AT (272 л.с.) 4WD  | #000000 | 1 550 000 |  2009  |  150 000 км  |  3.0 AT (272 л.с.) 4WDвнедорожник, бензин, полный  | Барнаул | 24.12.14
1005632735-4be5 | http://is16.auto.ru/all/images/7f/0d/60x45/7f0d4a5e.jpg |  BMW X5 I (E53)3.0 AT (231 л.с.) 4WD  | #CACECB | 790 000 |  2005  |  215 000 км  |  3.0 AT (231 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 24.12.14
1005633029-a313 | /i/all7/img/no-photo-thumb.gif |  BMW X5 I (E53) Рестайлинг3.0d AT (218 л.с.) 4WD  | #CACECB | 880 000 |  2005  |  192 000 км  |  3.0d AT (218 л.с.) 4WDвнедорожник, дизель, полный  | Краснодар | 24.12.14
38476418-dafff | http://is3.auto.ru/all/images/3e/5f/60x45/3e5f99d6.jpg |  BMW X5 I (E53)3.0 AT (231 л.с.) 4WD  | #ffefd5 | 450 000 |  2002  |  138 000 км  |  3.0 AT (231 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 24.12.14
1005634105-576d4d | http://is12.auto.ru/all/images/96/5b/60x45/965b9ac0.jpg |  BMW X5 III (F15) 25d3.0d AT (218 л.с.) 4WD  | #9c9999 | 3 530 000 |  2014  |  37 км  |  3.0d AT (218 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 24.12.14
1005586027-89da | /i/all7/img/no-photo-thumb.gif |  BMW X5 I (E53)3.0 AT (231 л.с.) 4WD  | #000000 | 630 000 |  2003  |  190 000 км  |  3.0 AT (231 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 24.12.14
1005634513-a98452 | http://is14.auto.ru/all/images/13/6b/60x45/136b1ca8.jpg |  BMW X5 II (E70) Рестайлинг 30d3.0d AT (245 л.с.) 4WD  | #9c9999 | 1 950 000 |  2010  |  76 500 км  |  3.0d AT (245 л.с.) 4WDвнедорожник, дизель, полный  | Краснодар | 24.12.14
1005634633-7b0a5b | http://is18.auto.ru/all/images/be/c8/60x45/bec84bc7.jpg |  BMW X5 II (E70) 30d3.0d AT (235 л.с.) 4WD  | #000000 | 1 300 130 |  2007  |  138 км  |  3.0d AT (235 л.с.) 4WDвнедорожник, дизель, полный  | Челябинск | 24.12.14
1001960675-2fc36 | http://is7.auto.ru/all/images/ff/bb/60x45/ffbb7e33.jpg |  BMW X5 II (E70) 30d3.0d AT (235 л.с.) 4WD  | #000000 | 1 550 000 |  2008  |  152 000 км  |  3.0d AT (235 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 24.12.14
36511992-e0a1d | /i/all7/img/no-photo-thumb.gif |  BMW X5 I (E53)3.0 AT (231 л.с.) 4WD  | #000000 | 950 000 |  2004  |  135 000 км  |  3.0 AT (231 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 24.12.14
1005635919-4329f3 | http://is8.auto.ru/all/images/07/b1/60x45/07b12dfa.jpg |  BMW X5 II (E70) 30i3.0 AT (272 л.с.) 4WD  | #0000FF | 1 150 000 |  2008  |  115 000 км  |  3.0 AT (272 л.с.) 4WDвнедорожник, бензин, полный  | Тверь | 24.12.14
1005636931-c495 | http://is12.auto.ru/all/images/5a/09/60x45/5a0973ee.jpg |  BMW X5 II (E70) 35d3.0d AT (286 л.с.) 4WD  | #000000 | 1 400 000 |  2009  |  90 000 км  |  3.0d AT (286 л.с.) 4WDвнедорожник, дизель, полный  | Пермь | 24.12.14
1005637807-4164e0 | http://is18.auto.ru/all/images/87/8c/60x45/878c1fdd.jpg |  BMW X5 I (E53)4.6 AT (347 л.с.) 4WD  | #000000 | 670 000 |  2003  |  183 000 км  |  4.6 AT (347 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 24.12.14
1005639059-0104 | http://is12.auto.ru/all/images/10/27/60x45/102704bd.jpg |  BMW X5 I (E53)4.4 AT (286 л.с.) 4WD  | #000000 | 530 000 |  2002  |  250 000 км  |  4.4 AT (286 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 24.12.14
1005316609-9ad3ba | http://is12.auto.ru/all/images/51/2f/60x45/512f1dfe.jpg |  BMW X5 II (E70) 30d3.0d AT (235 л.с.) 4WD  | #CACECB | 1 250 000 |  2007  |  240 000 км  |  3.0d AT (235 л.с.) 4WDвнедорожник, дизель, полный  | Десногорск | 24.12.14
1003964218-28f32 | http://is5.auto.ru/all/images/bf/fc/60x45/bffce58f.jpg |  BMW X5 I (E53) Рестайлинг3.0d AT (218 л.с.) 4WD  | #000000 | 870 000 |  2004  |  312 500 км  |  3.0d AT (218 л.с.) 4WDвнедорожник, дизель, полный  | Иваново | 24.12.14
1005640849-fcf3 | /i/all7/img/no-photo-thumb.gif |  BMW X5 II (E70) 30d3.0d AT (286 л.с.) 4WD  | #000000 | 1 700 000 |  2008  |  200 000 км  |  3.0d AT (286 л.с.) 4WDвнедорожник, дизель, полный  | Самара | 24.12.14
1005638347-ccb9ea | http://is9.auto.ru/all/images/75/18/60x45/75186a8e.jpg |  BMW X5 I (E53)4.4 AT (286 л.с.) 4WD  | #000000 | 570 000 |  2003  |  241 000 км  |  4.4 AT (286 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 24.12.14
1005641069-75d4f | http://is12.auto.ru/all/images/73/04/60x45/7304aa34.jpg |  BMW X5 II (E70) Рестайлинг 30d3.0d AT (245 л.с.) 4WD  | #000000 | 3 100 000 |  2013  |  52 500 км  |  3.0d AT (245 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 24.12.14
1000216796-5250 | http://is15.auto.ru/all/images/cf/f7/60x45/cff7d6d1.jpg |  BMW X5 II (E70) 30d3.0d AT (235 л.с.) 4WD  | #9c9999 | 2 000 000 |  2008  |  100 000 км  |  3.0d AT (235 л.с.) 4WDвнедорожник, дизель, полный  | Одинцово | 24.12.14
1005643087-e63480 | http://is15.auto.ru/all/images/a0/27/60x45/a0276a36.jpg |  BMW X5 II (E70) 30d3.0d AT (235 л.с.) 4WD  | #000000 | 1 275 000 |  2007  |  158 000 км  |  3.0d AT (235 л.с.) 4WDвнедорожник, дизель, полный  | Калининград | 24.12.14
1005643161-23890 | http://is15.auto.ru/all/images/48/5d/60x45/485da535.jpg |  BMW X5 I (E53)3.0 AT (231 л.с.) 4WD  | #CACECB | 500 000 |  2002  |  260 000 км  |  3.0 AT (231 л.с.) 4WDвнедорожник, бензин, полный  | Брянск | 24.12.14
1005642877-4b1261 | http://is13.auto.ru/all/images/98/e3/60x45/98e30a86.jpg |  BMW X5 II (E70) Рестайлинг 30d3.0d AT (245 л.с.) 4WD  | #FFFFFF | 3 100 000 |  2012  |  40 000 км  |  3.0d AT (245 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 24.12.14
1005643679-7945c2 | http://is18.auto.ru/all/images/71/84/60x45/7184f898.jpg |  BMW X5 II (E70) Рестайлинг 30d3.0d AT (245 л.с.) 4WD  | #9c9999 | 2 750 000 |  2011  |  30 510 км  |  3.0d AT (245 л.с.) 4WDвнедорожник, дизель, полный  | Санкт-Петербург | 24.12.14
45846084-e6a9 | http://is18.auto.ru/all/images/d2/56/60x45/d2560de8.jpg |  BMW X5 I (E53)4.6 AT (347 л.с.) 4WD  | #000000 | 650 000 |  2003  |  205 000 км  |  4.6 AT (347 л.с.) 4WDвнедорожник, бензин, полный  | Саранск | 24.12.14
1005645151-4511a | http://is2.auto.ru/all/images/9d/25/60x45/9d257679.jpg |  BMW X5 II (E70) 30d3.0d AT (235 л.с.) 4WD  | #9c9999 | 1 280 000 |  2007  |  167 000 км  |  3.0d AT (235 л.с.) 4WDвнедорожник, дизель, полный  | Санкт-Петербург | 24.12.14
