1007052137-a02042 | http://is14.auto.ru/all/images/bb/25/60x45/bb25e539.jpg |  Mazda 2 II Рестайлинг (DE2)1.5 AT (103 л.с.)  | #FFFFFF | 676 000 |  2013  |  11 000 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1007035381-0dd4c | http://is2.auto.ru/all/images/5e/01/60x45/5e017d3d.jpg |  Mazda 2 II Рестайлинг (DE2)1.5 AT (103 л.с.)  | #34ba2b | 650 000 |  2012  |  7 500 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Чебоксары | 19.01.15
1006993251-4f384c | http://is18.auto.ru/all/images/27/2c/60x45/272ccc75.jpg |  Mazda 2 II (DE)1.5 AT (103 л.с.)  | #FF0000 | 480 000 |  2008  |  120 000 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
19602090-17301 | http://is4.auto.ru/all/images/f9/39/60x45/f9393ca0.jpg |  Mazda 2 I (DY) Рестайлинг1.4 MT (80 л.с.)  | #9c9999 | 400 000 |  2007  |  124 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 18.01.15
1006469193-bbfe | http://is15.auto.ru/all/images/2d/7d/60x45/2d7d486a.jpg |  Mazda 2 II (DE)1.5 AT (103 л.с.)  | #0000FF | 449 900 |  2008  |  52 000 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Москва | 17.01.15
1006874573-a3972 | http://is17.auto.ru/all/images/ad/20/60x45/ad20fc4f.jpg |  Mazda 2 II (DE)1.4d MT (68 л.с.)  | #FF0000 | 365 000 |  2009  |  62 000 км  |  1.4d MT (68 л.с.)хэтчбек, дизель, передний  | Челябинск | 17.01.15
1001655039-64d9 | http://is16.auto.ru/all/images/a2/fc/60x45/a2fcf084.jpg |  Mazda 2 I (DY)1.4d MT (68 л.с.)  | #000000 | 250 000 |  2003  |  180 000 км  |  1.4d MT (68 л.с.)хэтчбек, дизель, передний  | Рыбинск | 16.01.15
1006876231-c7da6 | http://is5.auto.ru/all/images/36/f3/60x45/36f32261.jpg |  Mazda 2 II (DE)1.5 AT (103 л.с.)  | #0088ff | 460 000 |  2009  |  57 000 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Краснодар | 16.01.15
1005391087-13a9 | http://is15.auto.ru/all/images/09/27/60x45/0927ee0e.jpg |  Mazda 2 II (DE)1.5 AT (103 л.с.)  | #9c9999 | 400 000 |  2008  |  49 000 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Челябинск | 16.01.15
1006862435-a85925 | http://is3.auto.ru/all/images/13/64/60x45/13647e45.jpg |  Mazda 2 II (DE)1.5 AT (103 л.с.)  | #34ba2b | 450 000 |  2008  |  65 000 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Брянск | 16.01.15
1005028745-44d0 | http://is8.auto.ru/all/images/92/ae/60x45/92aee3de.jpg |  Mazda 2 II Рестайлинг (DE2)1.5 AT (103 л.с.)  | #34ba2b | 753 600 |  2011  |  42 531 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1006751849-29a190 | /i/all7/img/no-photo-thumb.gif |  Mazda 2 II (DE)1.5 AT (103 л.с.)  | #9c9999 | 500 000 |  2008  |  55 400 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Москва | 14.01.15
1006746729-b3ca7 | http://is18.auto.ru/all/images/3a/e9/60x45/3ae9270b.jpg |  Mazda 2 II (DE)1.5 AT (103 л.с.)  | #FFCC00 | 300 000 |  2008  |  60 000 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Ярославль | 14.01.15
1006265397-30d872 | http://is16.auto.ru/all/images/d9/20/60x45/d92043a9.jpg |  Mazda 2 II (DE)1.5 MT (103 л.с.)  | #34ba2b | 415 000 |  2008  |  98 600 км  |  1.5 MT (103 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 14.01.15
1006736131-915f8 | http://is12.auto.ru/all/images/98/ae/60x45/98aebc11.jpg |  Mazda 2 II Рестайлинг (DE2)1.5 AT (103 л.с.)  | #0000FF | 720 000 |  2011  |  30 000 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Москва | 14.01.15
1005571563-70729e | http://is11.auto.ru/all/images/eb/28/60x45/eb28c2f0.jpg |  Mazda 2 II (DE)1.5 AT (103 л.с.)  | #0088ff | 465 000 |  2008  |  74 000 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 13.01.15
1006672385-59954 | http://is18.auto.ru/all/images/fd/3c/60x45/fd3c1739.jpg |  Mazda 2 I (DY) Рестайлинг1.2 MT (75 л.с.)  | #FF0000 | 300 000 |  2006  |  87 478 км  |  1.2 MT (75 л.с.)хэтчбек, бензин, передний  | Псков | 13.01.15
1006633405-759f6 | http://is5.auto.ru/all/images/c5/fc/60x45/c5fcfbcb.jpg |  Mazda 2 II Рестайлинг (DE2)1.5 AT (103 л.с.)  | #9966CC | 480 000 |  2011  |  54 000 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Москва | 13.01.15
1004636105-9a47 | http://is3.auto.ru/all/images/3b/ea/60x45/3beac8f0.jpg |  Mazda 2 II (DE)1.5 AT (103 л.с.)  | #FF0000 | 399 900 |  2008  |  49 000 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Москва | 12.01.15
1006618893-d3b6 | http://is10.auto.ru/all/images/5d/6c/60x45/5d6cda9f.jpg |  Mazda 2 II (DE)1.5 AT (103 л.с.)  | #FF0000 | 430 000 |  2008  |  60 000 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Москва | 12.01.15
1005523765-1d699b | http://is16.auto.ru/all/images/3a/9e/60x45/3a9eea01.jpg |  Mazda 2 II (DE)1.4 AT  | #0000FF | 430 000 |  2008  |  71 000 км  |  1.4 ATхэтчбек, бензин, передний  | Москва | 12.01.15
1006517331-d43b50 | http://is11.auto.ru/all/images/90/91/60x45/9091c4a1.jpg |  Mazda 2 II (DE)1.4 MT (86 л.с.)  | #000000 | 405 000 |  2008  |  49 000 км  |  1.4 MT (86 л.с.)хэтчбек, бензин, передний  | Пермь | 10.01.15
50324576-e2d27 | http://is8.auto.ru/all/images/16/b0/60x45/16b03569.jpg |  Mazda 2 I (DY)1.4 MT (80 л.с.)  | #FF9966 | 230 000 |  2003  |  180 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Пенза | 10.01.15
1006512443-386758 | http://is13.auto.ru/all/images/81/63/60x45/8163699f.jpg |  Mazda 2 II (DE)1.5 AT (103 л.с.)  | #34ba2b | 450 000 |  2008  |  45 000 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Воронеж | 10.01.15
1001960903-f7901 | http://is12.auto.ru/all/images/ef/f0/60x45/eff0bab4.jpg |  Mazda 2 II (DE)1.4 MT (86 л.с.)  | #CACECB | 450 000 |  2008  |  75 000 км  |  1.4 MT (86 л.с.)хэтчбек, бензин, передний  | Одинцово | 08.01.15
1006318217-3561 | http://is3.auto.ru/all/images/b0/1e/60x45/b01e3b3f.jpg |  Mazda 2 II Рестайлинг (DE2)1.5 AT (103 л.с.)  | #9966CC | 620 000 |  2010  |  65 000 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Симферополь | 06.01.15
1002750661-b035c6 | http://is13.auto.ru/all/images/e9/b7/60x45/e9b7cc5a.jpg |  Mazda 2 II (DE)1.5 AT (103 л.с.)  | #0088ff | 405 000 |  2008  |  67 000 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Москва | 05.01.15
1005802319-9f9f | http://is13.auto.ru/all/images/00/10/60x45/00103cf0.jpg |  Mazda 2 II (DE)1.5 AT (103 л.с.)  | #9c9999 | 535 000 |  2008  |  33 801 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Москва | 31.12.14
46626154-6cdd5 | http://is13.auto.ru/all/images/96/52/60x45/96525f9b.jpg |  Mazda 2 II (DE)1.5 MT (103 л.с.)  | #FFFFFF | 430 000 |  2008  |  48 000 км  |  1.5 MT (103 л.с.)хэтчбек, бензин, передний  | Москва | 30.12.14
1005808839-8bf2dd | http://is14.auto.ru/all/images/3f/0f/60x45/3f0f8f89.jpg |  Mazda 2 II (DE)1.4 MT (86 л.с.)  | #FFFFFF | 390 000 |  2008  |  48 000 км  |  1.4 MT (86 л.с.)хэтчбек, бензин, передний  | Кострома | 27.12.14
1005807487-7333b8 | http://is16.auto.ru/all/images/48/42/60x45/48429239.jpg |  Mazda 2 II (DE)1.5 MT (103 л.с.)  | #FF0000 | 355 000 |  2009  |  40 000 км  |  1.5 MT (103 л.с.)хэтчбек, бензин, передний  | Ярославль | 27.12.14
1005523519-b5da7a | /i/all7/img/no-photo-thumb.gif |  Mazda 2 II (DE)1.5 AT (103 л.с.)  | #34ba2b | 450 000 |  2009  |  52 000 км  |  1.5 AT (103 л.с.)хэтчбек, бензин, передний  | Екатеринбург | 22.12.14
1005515717-eb6610 | http://is11.auto.ru/all/images/a2/8a/60x45/a28a9eca.jpg |  Mazda 2 II (DE)1.5 MT (103 л.с.)  | #9c9999 | 360 000 |  2009  |  50 000 км  |  1.5 MT (103 л.с.)хэтчбек, бензин, передний  | Москва | 22.12.14
