41957446-bbcb | http://is12.auto.ru/all/images/c0/e0/60x45/c0e06d0f.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #FFFFFF | 1 500 000 |  2011  |  19 000 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Смоленск | 26.12.14
47691120-2c242 | http://is5.auto.ru/all/images/61/7b/60x45/617bfb71.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #9c9999 | 850 000 |  2010  |  80 000 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Курск | 26.12.14
1005747577-899ea | http://is18.auto.ru/all/images/57/25/60x45/57259182.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #000000 | 710 000 |  2007  |  173 000 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 26.12.14
1005751123-9af28 | /i/all7/img/no-photo-thumb.gif |  Mazda CX-72.5 AT (163 л.с.)  | #FFFFFF | 1 000 000 |  2011  |  12 300 км  |  2.5 AT (163 л.с.)внедорожник, бензин, передний  | Москва | 26.12.14
1005752725-1531de | http://is11.auto.ru/all/images/3b/0f/60x45/3b0f809c.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #9966CC | 650 000 |  2008  |  91 000 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Пенза | 26.12.14
1003826354-abcfc9 | http://is4.auto.ru/all/images/69/b2/60x45/69b2c7d1.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #000000 | 690 000 |  2007  |  52 834 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 27.12.14
49683944-de1e | http://is5.auto.ru/all/images/5c/9d/60x45/5c9dd97b.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #CC0033 | 780 000 |  2008  |  128 000 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Красногорск | 27.12.14
1002155393-d90fb6 | http://is7.auto.ru/all/images/b6/e6/60x45/b6e6d88b.jpg |  Mazda CX-72.5 AT (163 л.с.)  | #000000 | 800 000 |  2011  |  65 000 км  |  2.5 AT (163 л.с.)внедорожник, бензин, передний  | Ижевск | 27.12.14
1005808857-7c49 | http://is14.auto.ru/all/images/b8/65/60x45/b8650ee2.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #000000 | 840 000 |  2008  |  60 000 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Иваново | 27.12.14
1005808975-8181e | http://is1.auto.ru/all/images/08/21/60x45/0821c73c.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #FFFFFF | 690 000 |  2007  |  115 000 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Салехард | 27.12.14
1002878453-79369b | http://is1.auto.ru/all/images/1a/2b/60x45/1a2bdd3d.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #9c9999 | 1 088 340 |  2010  |  48 151 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 27.12.14
1002988306-c3f711 | http://is11.auto.ru/all/images/aa/54/60x45/aa546f16.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #000000 | 1 072 020 |  2010  |  50 373 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 27.12.14
1001742807-70eb8 | http://is18.auto.ru/all/images/55/3e/60x45/553e53c4.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #CC0033 | 798 660 |  2008  |  91 015 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 27.12.14
48601812-e13b24 | http://is3.auto.ru/all/images/33/9a/60x45/339a8af1.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #9c9999 | 824 670 |  2008  |  92 298 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 27.12.14
49607888-f9169 | http://is7.auto.ru/all/images/5c/cd/60x45/5ccd23f3.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #9966CC | 650 000 |  2007  |  145 000 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Калуга | 27.12.14
1000632221-c8aaf7 | http://is13.auto.ru/all/images/7f/5e/60x45/7f5e4d0a.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #FFFFFF | 1 150 000 |  2011  |  70 000 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 28.12.14
